year,month,co2_concentration,ch4_concentration,co2e,decimal_year
2014,11,397.4,1.8330199999999999,443.22549999999995,2014.8333333333333
2014,12,399.08,1.83354,444.9185,2014.9166666666667
2015,1,400.18,1.8330799999999998,446.007,2015.0
2015,2,400.55,1.83292,446.373,2015.0833333333333
2015,3,401.74,1.83321,447.57025,2015.1666666666667
2015,4,403.35,1.83318,449.1795,2015.25
2015,5,404.15,1.83155,449.93874999999997,2015.3333333333333
2015,6,402.97,1.8271199999999999,448.648,2015.4166666666667
2015,7,401.46,1.8246,447.075,2015.5
2015,8,399.11,1.82902,444.8355,2015.5833333333333
2015,9,397.82,1.83623,443.72575,2015.6666666666667
2015,10,398.49,1.84148,444.527,2015.75
2015,11,400.27,1.8446099999999999,446.38525,2015.8333333333333
2015,12,402.06,1.84477,448.17925,2015.9166666666667
2016,1,402.73,1.84244,448.791,2016.0
2016,2,404.25,1.84165,450.29125,2016.0833333333333
2016,3,405.06,1.84301,451.13525,2016.1666666666667
2016,4,407.6,1.84375,453.69375,2016.25
2016,5,407.9,1.84214,453.95349999999996,2016.3333333333333
2016,6,406.99,1.83781,452.93525,2016.4166666666667
2016,7,404.59,1.83416,450.44399999999996,2016.5
2016,8,402.45,1.83671,448.36775,2016.5833333333333
2016,9,401.23,1.84417,447.33425,2016.6666666666667
2016,10,401.79,1.8498599999999998,448.03650000000005,2016.75
2016,11,403.72,1.85145,450.00625,2016.8333333333333
2016,12,404.64,1.8510499999999999,450.91625,2016.9166666666667
2017,1,406.36,1.84968,452.60200000000003,2017.0
2017,2,406.66,1.8483900000000002,452.86975,2017.0833333333333
2017,3,407.54,1.84817,453.74425,2017.1666666666667
2017,4,409.22,1.84854,455.43350000000004,2017.25
2017,5,409.89,1.84715,456.06874999999997,2017.3333333333333
2017,6,409.08,1.8429200000000001,455.15299999999996,2017.4166666666667
2017,7,407.33,1.8403800000000001,453.3395,2017.5
2017,8,405.32,1.8446500000000001,451.43625,2017.5833333333333
2017,9,403.57,1.85273,449.88824999999997,2017.6666666666667
2017,10,403.82,1.85799,450.26975,2017.75
2017,11,405.31,1.85853,451.77325,2017.8333333333333
2017,12,407.0,1.8565099999999999,453.41275,2017.9166666666667
2018,1,408.15,1.85443,454.51075,2018.0
2018,2,408.52,1.85497,454.89425,2018.0833333333333
2018,3,409.59,1.85686,456.01149999999996,2018.1666666666667
2018,4,410.45,1.8567,456.8675,2018.25
2018,5,411.44,1.8548399999999998,457.811,2018.3333333333333
2018,6,410.99,1.85201,457.29025,2018.4166666666667
2018,7,408.9,1.84909,455.12725,2018.5
2018,8,407.16,1.8519400000000001,453.4585,2018.5833333333333
2018,9,405.71,1.86047,452.22175,2018.6666666666667
2018,10,406.19,1.86575,452.83375,2018.75
2018,11,408.21,1.86628,454.86699999999996,2018.8333333333333
2018,12,409.27,1.86603,455.92075,2018.9166666666667
2019,1,411.03,1.86499,457.65475,2019.0
2019,2,411.96,1.86503,458.58574999999996,2019.0833333333333
2019,3,412.18,1.86631,458.83775,2019.1666666666667
2019,4,413.54,1.86534,460.1735,2019.25
2019,5,414.86,1.8619700000000001,461.40925000000004,2019.3333333333333
2019,6,414.15,1.85856,460.614,2019.4166666666667
2019,7,411.96,1.85799,458.40975,2019.5
2019,8,410.17,1.8629,456.7425,2019.5833333333333
2019,9,408.76,1.8708,455.53,2019.6666666666667
2019,10,408.74,1.8754000000000002,455.625,2019.75
2019,11,410.47,1.8756199999999998,457.3605,2019.8333333333333
2019,12,411.97,1.87462,458.8355,2019.9166666666667
2020,1,413.59,1.8729,460.41249999999997,2020.0
